,Date,User,Tweet,Label
0,2022-09-13 05:50:03+00:00,KadalSakitHati,@Bjorxanesian @bjorkanesian Jokowi ğŸ˜­,Negatif
1,2022-09-13 05:50:01+00:00,Truncvg,"@jokowi Mentolo napuk cocot.e samean aku pak
Ga nduwe cermin ta samean?",Negatif
2,2022-09-13 05:50:01+00:00,WartaEkonomi,"Achmad Nur Hidayat Ungkap Kemungkinan Kaitan Pelengseran Suharso Monoarfa dan Pembangunan IKN, Jokowi Terlibat? https://t.co/e4npctVqqy",Negatif
3,2022-09-13 05:50:00+00:00,okezonenews,"Bjorka: Apa Anda (Jokowi) butuh bantuan saya untuk menyelesaikan masalah ini Pak?

https://t.co/IHgYwLeCKP",Negatif
4,2022-09-13 05:49:57+00:00,infoBanyumas12,"#Foto Presiden Jokowi mengakui kenaikan harga BBM akan memberikan pengaruh laju inflasi. Jokowi meminta pemerintah daerah ikut meredam kenaikan laju inflasi tahun ini.

Foto: Kris/Biro Pers Sekretariat Presiden https://t.co/D45KJhoOTm",Positif
5,2022-09-13 05:49:56+00:00,Metdro2,@Yatie84991237 @_TNIAL_ @edhi_shi @JohnVirgoVj @Hadiwidjaja10 @jokowi @PaimoMontok Iya ini mau dluhuran dulu,Negatif
6,2022-09-13 05:49:55+00:00,Div4_Kir4n4,@jokowi Jual aja pak biar dapat utangğŸ‘,Negatif
7,2022-09-13 05:49:53+00:00,JN_Eri,"@Harno140484 @HusinShihab @KejaksaanRI @mohmahfudmd @jokowi Itu Bang, yg buat berita hoax thdap orang Kalimantan, plakunya malah dibebaskan.
Tetap dilanjutkan perjuangan menegakkan kebenaran spaya mereka jangn suka buat berita hoax yg mengadudomba sesama anak Bangsa.",Negatif
8,2022-09-13 05:49:52+00:00,igoynixx,"@jokowi Jangan lupa janji2nya, yaa pak...",Negatif
9,2022-09-13 05:49:50+00:00,siswantos208,"@yosnggarang @jokowi Emg surplus apbn buat subsidi cuma2, klo perlu malah di hapus subsidi, uang subsidi di bagikan buat BLT malah bagus.",Negatif
10,2022-09-13 05:49:46+00:00,AkuTerpesona8,"@mahasiswigenz @jokowi DPRD cari temen baru ?
ğŸ¤£ğŸ¤£ğŸ¤£",Negatif
11,2022-09-13 05:49:26+00:00,MunawarVaraby,@pengarang_sajak Cuma jokowi yang betul2 membangun Aceh secara nyata ğŸ‘,Positif
12,2022-09-13 05:49:25+00:00,romeo08657467,"@jokowi Beli pertalite di SPBU antri nya  2 jam ,beli di pom mini  atau eceran  harga nya 14 ribu perliter,",Negatif
13,2022-09-13 05:49:25+00:00,AnakLurahIstana,"@Saudi_pang @yosnggarang @jokowi @msaid_didu dari dulu ebong itu tololnya diborong semua,... BLT untuk wong cilik mana?",Negatif
14,2022-09-13 05:49:25+00:00,Amll__13,@blckrem Siapa tau bapak Jokowi buatin jembatan,Negatif
15,2022-09-13 05:49:16+00:00,iwanKur76759461,"@yosnggarang @jokowi Maklumin aja deh, namanya juga:
â€¢Raja Ngibul 
â€¢Raja Nge-Prank
â€¢Bisanya cuma plonga-plongo
Kagak Ngibul sehari bisa bisa klemer-klemer

#FaktaNoHoax",Negatif
16,2022-09-13 05:49:13+00:00,fadlidzon,"Kepedulian presiden Jokowi thd pembangunan layak diapresiasi. Bersama pekerja2 Bendungan Sukamahi dan Bendungan Ciawi, dua bendungan di Jawa Barat, untuk pengendalian banjir Jakarta. #BersamaJokowi #IndonesiaMaju  
https://t.co/Q6WVaxBfgI",Positif
17,2022-09-13 05:49:13+00:00,CanEmbIndonesia,Today our new Ambassador Nadia Burger @NadiaBCanada presented her letters of credence to President @jokowi at Presidential Palace in Jakarta. Sheâ€™s  officially Canadaâ€™s 28th ambassador to Indonesia. #CanadaIndonesia70 https://t.co/XR9pcVc20z,Positif
18,2022-09-13 05:49:12+00:00,Komariacocom,"@jokowi Plis inpes in may kantry. Ples utangin dong.
Kapan temui pendemo pak. Ktnya kangen di demo. 
Kt nya Suara rakyat adlh suara tuhan. 
Tuhan sj dibohongi apalagi rakyat. Biasakan budaya malu. Ngak mampu urus negara MUNDUR",Negatif
19,2022-09-13 05:49:10+00:00,AgungConqueror,@jokowi PEMBUAT HOAX TERBAIK ADALAH ISTANO HAHAHAHA. https://t.co/M7yClUAKx4,Negatif
20,2022-09-13 05:49:06+00:00,didisyaipudin9,@gembong_warsono @papa_loren @jokowi @basuki_btp @Jarot Trs teman separtai anda apa kah memenuhi target...objektig dong,Negatif
21,2022-09-13 05:49:04+00:00,BukaMat4,"#Jokowi
#MembangunNKRI
#IndonesiaMembangun https://t.co/iC6YOmg8F4",Positif
22,2022-09-13 05:49:02+00:00,erwinsudarman,@jokowi Presiden seremonial aja. Useless,Negatif
23,2022-09-13 05:49:02+00:00,goro2bojo,@AT_AbdillahToha @jokowi Yoh nda tau kok mensen saya..,Negatif
24,2022-09-13 05:48:56+00:00,Muhamma27742297,@jokowi Assalamualaikum bapak Jokowi yang saya cintai saya mau nanya pak ada ga bantuan yg untuk usaha merintis. Soalnya kalu tidak karyawan baru merintis usaha kok ga dapat bantuan,Negatif
25,2022-09-13 05:48:55+00:00,Syofian_Kuroda,"@Syofiande5motor @binofficial_ri @BimaAryaS @msoekarnoputri @jokowi JawağŸ‡®ğŸ‡© : BIN lo udah cek WNIğŸ‡®ğŸ‡© di luar Negeri belum @binofficial_riğŸ‡®ğŸ‡© ? mereka gimana nasibnya ? Benar diawasin enggak ?
JawağŸ‡®ğŸ‡© : Atuh gw gak tau, gak sampe akses kita ke luar Negeri, kita gak bisa ngedukun sampe luar Negeri.
JawağŸ‡®ğŸ‡© : dari sample medsos sih masih aman-aman aja.",Negatif
26,2022-09-13 05:48:50+00:00,urip_harjito,"@prastow @jokowi @yosnggarang Kejujuran barang langka tak apa, tapi ngaco narasi pemimpinadalah pembodohan terlaknat. Tak ada yang menegur kekeliruan seorang pemimpin adalah biang kerok hancurnya negeri ini.",Negatif
27,2022-09-13 05:48:45+00:00,H1m4_W4r1,"@FebriRoli @Erwin68073327 @DzakwanFirst @smasnawi @tatakujiyati Pdhl formula E aje ada yg roboh kan.
Entar Jokowi lagi yg disalahin. ğŸ¤£",Negatif
28,2022-09-13 05:48:44+00:00,daffana,@rasjawa @jokowi Sy udh pesimis.. selama dasarnya masih itung2 an politik dan balas budi ya gak bakal ada yg bener,Negatif
29,2022-09-13 05:48:36+00:00,wangkyberdikari,"@m1r_ssb @DanieSasmita @sigitwid @aniesbaswedan @anies Ga pernah naik angkot Jaklingko ya pak jadinya gak paham? Itulah hebatnya jiwa besar Pak Anies pak, program bagus pendahulu tidak dihilangkan bahkan dikembangkan lebih baik lagi, Busway Sutiyoso, KJP Jokowi, Ganjil Genap Ahok beberapa contoh yang tetap dijalankan Gubernur Anies.",Positif
30,2022-09-13 05:48:34+00:00,AntonnBnj1,"@MarahIchsan @LuqmanBeeNKRI @panca66 @mprgoid @DPR_RI @puanmaharani_ri @jokowi @mohmahfudmd @Lizalarilari Sepertinya 
@veroaktivis 
Tidak Asing 
Gambar / Photo AVA Mu 
@SisiwittFrida https://t.co/vBUhLFFZPQ",Negatif
31,2022-09-13 05:48:25+00:00,JHaduw,"Jokowi Bentuk Tim Khusus Atasi Serangan Hacker Bjorka dan Maraknya Kebocoran Data https://t.co/AsuepgzwVI 

#Bjorka #SmarterNotHarder Ngeri-Ngeri Sedap Korea Squid Game iOS 16 MASIH PAGI",Positif
32,2022-09-13 05:48:16+00:00,SriRedjeki2,"@MeilaSandi Demo2 sendiri kelompoknya... Ricuh2 sendiri ... Bonyok2 sendiri...
Ujung2nya salah Jokowi pastiii.... ğŸ˜‚ğŸ˜‚",Negatif
33,2022-09-13 05:48:15+00:00,kurengbgtdeh,@mental_break01 jahat @jokowi btw sambo sehat?,Negatif
34,2022-09-13 05:48:14+00:00,Budi_Mantul,@DistractRhytm @PartaiSocmed @jokowi 12kg ga turun tuh ?,Negatif
35,2022-09-13 05:48:10+00:00,mbuhraerti,"@prastow @jokowi @yosnggarang Yang sulit tuh, memahamimu... ğŸ«£ğŸ¤­âœŒï¸",Negatif
36,2022-09-13 05:48:07+00:00,MasSuga6,@jokowi Payah,Negatif
37,2022-09-13 05:48:06+00:00,roland_interior,@prastow @jokowi @yosnggarang bagi anda tidak sulit. tapi bagi rakyat.....,Negatif
38,2022-09-13 05:48:05+00:00,MachinDhedoel54,"@maliq1928 @jokowi Prof,Dr ...... ?!?!?!?",Negatif
39,2022-09-13 05:48:05+00:00,Yatie84991237,"@Metdro2 @_TNIAL_ @edhi_shi @JohnVirgoVj @Hadiwidjaja10 @jokowi @PaimoMontok Create sendiri dong... 

TNI AL lochh ini.. Para perwira lautan.. ğŸŒŠğŸŒŠğŸŒŠğŸŒŠğŸŒŠ",Negatif
42,2022-09-13 05:48:02+00:00,kentunganmasjid,@bjorkanesian Coba pak @jokowi udh di kasih tawaran baik lohğŸ˜†,Negatif
43,2022-09-13 05:47:45+00:00,PutuSambernyawa,"@rasjawa @jokowi Kayaknya percuma deh... Krn dari menteri sampai ke bawahnya kebanyakan nggak kompeten... 

Jadi siapapun menterinya ya cuma gitu2 aja...",Negatif
44,2022-09-13 05:47:36+00:00,AntonnBnj1,"@MarahIchsan @LuqmanBeeNKRI @panca66 @mprgoid @DPR_RI @puanmaharani_ri @jokowi @mohmahfudmd @Lizalarilari GIMANA 
INI &amp; ITU 
@veroaktivis 
       "" DEMOKRAT "" https://t.co/FkhlF297D0",Negatif
45,2022-09-13 05:47:35+00:00,Budi_Mantul,@PartaiSocmed @jokowi Ngomong sama tembok,Negatif
46,2022-09-13 05:47:35+00:00,Dilut16,@_MbakSri_ Orangnya itu itu terus yang teriak teriak Jokowi mundur dari tahun 2014 sampai tahun ini.. apa gak bosen.,Negatif
47,2022-09-13 05:47:31+00:00,rasjawa,"@daffana @jokowi Minimal ganti dulu lah yang sekarang, sambil berharap dapet pengganti yang kompeten. Udah jelas kacau balau kerjanya yang sekarang.",Negatif
48,2022-09-13 05:47:20+00:00,obetSULTHAN,"@CNNIndonesia Pak @jokowi kayanya lebih baik ""ekonomi sama korupsi"" dah yg di urusin. Biarkan @bjorkanismGOD memainkan peran nya dalam berdemokrasi. Terlepas itu benar atau salah. #TheRightManOnTheRightPlace",Negatif
49,2022-09-13 05:47:17+00:00,dabenone2,"@PartaiSocmed Jokowi: APBN Surplus, Kita Sanggup Beri Subsidi BBM Rp502 T
https://t.co/iTdbADmtrj https://t.co/qwnsDma43Y",Negatif
50,2022-09-13 05:47:15+00:00,alisyarief,"Menurut saya, opini pribadi, dasarnya konstitusi/UU, bahwa Presiden dan Wakil Presiden itu, adlh pasangan sepaket. Karena Jokowi sdh 2 periode, walau dipasangkan sbg Wapres, ia tak bisa nyalon lg.

Kecuali Jokowi yg lain dg NIK yg berbeda, Ijasah yg Baru, dll hehehe",Negatif
52,2022-09-13 05:47:07+00:00,indoissue,Demokrat Sindir Jokowi Yang Absen Lagi Di Sidang PBB https://t.co/X0dskJcc5a https://t.co/vQqQWkp056,Negatif
54,2022-09-13 05:47:03+00:00,dabenone2,"@aldryandimas @jokowi Jokowi: APBN Surplus, Kita Sanggup Beri Subsidi BBM Rp502 T
https://t.co/iTdbADmtrj https://t.co/dEbmVji2M8",Negatif
55,2022-09-13 05:46:55+00:00,CSiadilah,"Pemberdayaan kelompok masyarakat Budidaya ikan tawar Desa Dukoraharjo
#semangat
#TPPJawaTimur 
#tppkabmalang
#TPP Kepanjen
@jokowi 
@halimiskandarnu 
@kemendespdtt 
@MalikHaramain64 
@taufikmadjid71 
@Ari_Asharie 
@EkoHeruNAT 
@Winartono113 
@estip3md 
@Hendri_74_HKH https://t.co/AVWd5APPze",Positif
56,2022-09-13 05:46:51+00:00,Davichi101,"Klw bukan Presiden yg bekerja buat Rakyat Siapa lagi Klw bukan Jokowi gak bakalan ada Seandainya sobat mau melihat lagi pembangunan yg berkelanjutan mari kita dukung jokowi lagi 

#Jokowi2Periode 
#JokowiMarufAmin2019",Positif
57,2022-09-13 05:46:48+00:00,YoYoAyo17845,"@Sudiyanto204573 @prastow @jokowi @yosnggarang Tweet anda di atas, mengenai menolak kenaikan harga BBM.

Bukan mempertanyakan berapa data BPP BBM.

Dan data itu akan dilaporkan secara tertulis oleh Dirut BUMN.

Tapi yg aneh sekali, komisi 6 DPR ini, mereka kok ada pertanyaan yg seperti tidak menguasai substansi.

&amp; Oneng OOT",Negatif
59,2022-09-13 05:46:43+00:00,jogjanet,"@jokowi YM Presiden, seandainya para kepala desa di seluruh negeri ini dapat menggunakan anggaran pembangunan untuk tujuan #pemberdayaan sumber ekonomi khas di #pertanian, ternak &amp; #perikanan, maka Indonesia pasti akan punya #ketahanan pangan yang handal &amp; sekaligus membangun #koperasi https://t.co/TimiIvVfRJ",Positif
60,2022-09-13 05:46:38+00:00,sayuti_djoko,@myjustice0110 @jokowi Mosok gitu aja mesti dijelaskan,Negatif
61,2022-09-13 05:46:34+00:00,daffana,"@rasjawa @jokowi Tar yg ganti jg gak kompeten lagi, cuman buat itung2 an politik.. ecapedeh",Negatif
62,2022-09-13 05:46:31+00:00,bjorka_midgxt,@jokowi Welcome to me,Negatif
63,2022-09-13 05:46:29+00:00,bara_juang,"RT jokowi ""Menerima surat kepercayaan delapan duta besar luar biasa dan berkuasa penuh dari negara sahabat, hari ini, di Istana Merdeka. 

Para duta besar berasal dari negara-negara Kanada, Thailand, Austria, Singapura, Belgia, Tanzania, Finlandia, dâ€¦ https://t.co/5N9Wkr3ajJ""",Positif
64,2022-09-13 05:46:26+00:00,GmailMicloud,Contoh yg kyk begitu...@jokowi jgn kaburrr klo didatengin pendemo... https://t.co/Y0VR3QyEO2,Negatif
66,2022-09-13 05:46:15+00:00,LylacLia,"jujur, presiden dengan masa jabatan paling asem tuh keknya pak habibie sama jokowowâ€¦ eyang habibie kerja tambal sana tambal sini dosa-dosa perekonomian pak harto, yg kaya siapa? keluarga C
jokowi tambal sana tambal sini dosa mantan presiden sebelumnya, yg kaya keluarga C",Positif
67,2022-09-13 05:46:12+00:00,AdvPurba,@Syarman59 Dengan DEMO model Jiancuuuuuuuuuuuk begitu berarti PARA PENDUKUNG sah sah saja meminta @jokowi TIGA PRIODE kan? https://t.co/Bz7MAdl2yb,Negatif
68,2022-09-13 05:46:10+00:00,sayuti_djoko,"@myjustice0110 @jokowi Kita bisa saja janji dan dalam perhitungan kita bisa kita laksanakan, tapi kita ga tau apa yang ada di depan kita,  dan mungkin bisa berpengaruh dan mengakibatkan janji kita tidak bisa terpenuhi...",Negatif
71,2022-09-13 05:46:06+00:00,winteruwuu,@jokowi pak daripada BLT gak tepat sasaran mulu gini mending BBM yg diturunin aja gak sih,Negatif
72,2022-09-13 05:46:02+00:00,siswantos208,"@msaid_didu Anda mau ngoceh sampai nungging2, pemerintah tetap baik-baik saja, rakyat jokowi tetap percaya dg jokowi, anda cuma sebagian upil aja",Negatif
73,2022-09-13 05:45:59+00:00,zie14400,@alvinlie21 @KemenkesRI @jokowi Yaaaa gtu lah....,Negatif
74,2022-09-13 05:45:47+00:00,info_jakarta,Demokrat Sindir Jokowi Yang Absen Lagi Di Sidang PBB  https://t.co/cS5ghLzZFA,Negatif
75,2022-09-13 05:45:44+00:00,DistractRhytm,@PartaiSocmed @jokowi Biar lu tau gas 50kg skrg turun.... dr mggu lalu,Positif
76,2022-09-13 05:45:41+00:00,medan,"Jokowi Bentuk Tim Khusus Respons Serangan Hacker Bjorka. Jokowi Perintahkan BSSN,Â BIN, https://t.co/KO3RPAVkt4",Positif
77,2022-09-13 05:45:39+00:00,urip_harjito,"@prastow @jokowi @yosnggarang Jika risiko membengkak dilakukan penyesuian ternyata cuma sebulan bukan setahun. Kalo setahun, ga ada kenaikan BBM hingga akhir tahun. Presiden ngaconya kualiats tinggi.
https://t.co/ukk8PvUpKz",Negatif
78,2022-09-13 05:45:33+00:00,langitbirubth,"@PNS_Ababil @andikamalreza @jokowi PNS mati? Emang gue pikirin kata @jokowi. Yg penting anak dan mantu menjabat dan gue 3 periode, ngapain pusing?",Negatif
79,2022-09-13 05:45:30+00:00,poskotaofficial,"Setelah dua periode, Jokowi disebut punya peluang jadi Cawapres, ini sosok pasangan Capres yang tepat.
#Jokowi #Cawapres #Capres2024
https://t.co/u5jInKbBRl",Positif
80,2022-09-13 05:45:28+00:00,Bisma_haryana,"@tatakujiyati Penekanan kata "" Anies sengaja bangun JIS"", seolah2 JIS itu murni dirancang dan dibangun Anies sendiri.
Padahal Anies hanya meneruskan dan merubah namanya doang. Awalnya namanya adalah stadiun BMW yg peletakan batu pertama dilakukan P Jokowi.
Kemudian  di rename mjd JIS.

CULAS.",Negatif
81,2022-09-13 05:45:26+00:00,AzizyPambudi,"@korantempo @bjorkanism Berdasarkan data bersifat umum yg dibuka yg banyak tdk valid, saya yakin Bjorka itu sbenarnya asal Indonesia yg ingin merusak kondusivitas pemerintahan @jokowi dngan melempar ancaman2 palsu dng tujuan membuat masyarakat kehilangan kepercayaan kepada pemerintah, bertujuan politis.",Negatif
83,2022-09-13 05:45:20+00:00,JN_Eri,"@pengarang_sajak Haha..dulu milih Bapak Jokowi ato ga coba, tpi Bapak tetap membangun Negri ini, ga pduli dulu Aceh menolak Bapak Presiden Jokowi.",Positif
84,2022-09-13 05:45:14+00:00,Muhadjir_M,"@rahmani_ima @jokowi Repotnya suatu pekerjaan dengan aegala permasalahnya, jika dilakukan oleh orang yang bukan ahlinya.",Negatif
85,2022-09-13 05:44:54+00:00,I_F_J,"@Fido_id_ @RamliRizal @jokowi Bukan prestasi2 yg cuma tertulis atau dari survey abal2 ya. Cuma sebutkan sesuatu yg bisa buat mayoritas rakyat tersenyum bangga, bukan menangis saat bbm naik 500 ketika jadi oposisi tapi sekarang malah santai nyanyi happybirthday saat warga demo kenaikan bbm 2000 lebih diluar.",Negatif
86,2022-09-13 05:44:54+00:00,bn_1c,"President Jokowi is Committed to Resolving Human Rights Violations and the Government will prioritize the principle of justice for victims and perpetrators of human rights violations. I really agreeğŸ™
#WestPapuan
https://t.co/LDk9O6pcv1",Positif
87,2022-09-13 05:44:46+00:00,adi27setiawan,"@jokowi Telek pak2, kekayaan indo hanya dinikmati segelintir orang2 yg punya uang n jabatan pakğŸ¥²ğŸ¥²ğŸ¥²ğŸ¥²ğŸ¥²
Telalu jauhhh gap antara si miskin n si kaya",Negatif
88,2022-09-13 05:44:41+00:00,AyahFerGie,@yosnggarang @jokowi Tiada hari tanpa omong kosong dan pencitraan ğŸ™„,Negatif
93,2022-09-13 05:44:17+00:00,de_fatah,"@JSuryoP1 Kasihan Pak Prabowo juga. Sudah rela jadi pembantu,  mengelu-elukan, memuji-muji Pak Jokowi, tetapi penjilatnya malah melakukan hal sebaliknya.",Negatif
98,2022-09-13 05:44:01+00:00,mofaisalakbar,"@fadjarkim_ Itu orang pssi mirip jokowi, pantes aja suram",Negatif
